rmse,mae,r2,mape,model,horizon,split,n_samples
312.8789059215763,238.60068273092347,0.8500383683341823,0.6892408186706769,naive_baseline,1,validation,249
376.7587755660115,285.0567600000003,0.9210927207087438,0.8846447051217401,naive_baseline,1,test,250
327.0644892442023,250.73202491367226,0.836131916092275,0.7229516358900765,linear_regression,1,validation,249
384.656250593478,287.00726990092113,0.9177500005527626,0.8908429679570349,linear_regression,1,test,250
1169.2205987872183,969.2805155579838,-1.094211327983258,2.7432212715642503,random_forest,1,validation,249
474.07782560813536,365.31917915523314,0.8750634238486887,1.138267392506218,random_forest,1,test,250
1006.5097496386078,849.5474870360262,-0.4991625421462764,2.4046954789802446,lstm,1,validation,229
598.8295319689851,465.3495329483697,0.8122653900058292,1.4544326351943484,lstm,1,test,230
529.8309772364742,405.9706827309234,0.5781268430163752,1.1708368336199122,naive_baseline,3,validation,249
655.8081897734244,517.939558232932,0.7616991178736947,1.6110630209955001,naive_baseline,3,test,249
597.0237882851859,457.3912559799951,0.46433845200871326,1.3167092864075651,linear_regression,3,validation,249
684.0274310571599,530.7681098981489,0.7407498509207957,1.6509309393037594,linear_regression,3,test,249
1035.317022184695,838.6810837126395,-0.6108455786238498,2.375833660926618,random_forest,3,validation,249
797.5266549799645,602.3142795975479,0.6475785025118794,1.8893933521424437,random_forest,3,test,249
938.1520442974538,784.9108679039299,-0.27455526421882803,2.22480003148661,lstm,3,validation,229
814.3165209799996,609.0827794077512,0.6541612161766376,1.9148513032275514,lstm,3,test,229
744.4137382561092,585.4457661290322,0.17052032036346965,1.6874801121287104,naive_baseline,7,validation,248
977.8897698573016,773.3232530120483,0.47015140888351636,2.4098274601952965,naive_baseline,7,test,249
914.4022861965233,686.7739606225124,-0.25155978129448187,1.9724131919668042,linear_regression,7,validation,248
1040.1789417709326,815.0244875948524,0.4005015108963742,2.5322357548505994,linear_regression,7,test,249
906.4092161394207,725.3161775717238,-0.22977487982773348,2.0619027844472804,random_forest,7,validation,248
1317.8207766971473,1030.1481314837167,0.03775718058228261,3.2457074455599746,random_forest,7,test,249
965.5353880879675,817.15852247807,-0.3447915993031685,2.3197684644437615,lstm,7,validation,228
1114.4797321303665,849.2947591430134,0.35221400693763616,2.670183058951114,lstm,7,test,229
