model,horizon,n_estimators,max_depth,min_samples_leaf,validation_rmse,validation_mae,validation_r2
random_forest,1,100,8,3,1169.220598787218,969.2805155579839,-1.094211327983257
random_forest,1,300,8,3,1169.7783158763555,969.4542313662309,-1.0962096780108674
random_forest,1,500,-1,3,1171.049920690294,970.7220934363997,-1.1007695148133476
random_forest,1,300,12,1,1171.8329340771054,971.7162263453794,-1.1035797803001577
random_forest,1,500,12,1,1173.7373317243137,973.5150072128259,-1.1104225775528782
random_forest,1,100,4,1,1247.9489223747044,1049.77316094013,-1.3857295468503308
random_forest,3,300,12,1,1035.3170221846929,838.6810837126371,-0.6108455786238431
random_forest,3,500,12,1,1039.3443834038183,841.9527842838415,-0.6234022639850187
random_forest,3,100,8,3,1089.698702696427,891.9964693537635,-0.7845144462527134
random_forest,3,300,8,3,1098.7107967923018,900.6790147017952,-0.8141533071990086
random_forest,3,500,-1,3,1098.8277252530727,901.6089093073832,-0.8145394642150645
random_forest,3,100,4,1,1222.4906032306487,1023.8340330531323,-1.2459405663959529
random_forest,7,300,12,1,906.4092161394202,725.3161775717233,-0.22977487982773215
random_forest,7,500,12,1,913.503323948796,731.3962657177933,-0.24910013753034432
random_forest,7,100,8,3,1006.366415019084,815.3716181026499,-0.5159653049618182
random_forest,7,500,-1,3,1021.3379809191382,830.230405500749,-0.5614064076161431
random_forest,7,300,8,3,1021.7791759780473,830.6002090212427,-0.5627556839502021
random_forest,7,100,4,1,1117.7153285110114,924.04257613523,-0.8699905256218079
