rmse,mae,r2,mape,model,horizon,regime,n_samples
302.7765673509804,224.23000000000118,0.8983391354974432,0.673614042231215,naive_baseline,1,low_volatility,38
388.53374013598454,295.95966981132085,0.911138292412115,0.9224709560172115,naive_baseline,1,high_volatility,212
316.74089055763307,235.52056719759466,0.8887455109538267,0.7067014788217563,linear_regression,1,low_volatility,38
395.5994120081368,296.2360184986872,0.9078769195156711,0.9238494612926036,linear_regression,1,high_volatility,212
287.3839103301175,201.13728637735068,0.9084129277672425,0.603030065063769,random_forest,1,low_volatility,38
500.2312895735412,394.74800899277807,0.8527013101950397,1.2342061587459023,random_forest,1,high_volatility,212
334.4828996622322,266.41400287828986,0.8759327615548367,0.802769320876027,lstm,1,low_volatility,38
638.299625698602,504.72218994140644,0.7765372464236846,1.5834076661531828,lstm,1,high_volatility,192
484.9566352291499,383.0819444444453,0.7867228030932856,1.1528623852758053,naive_baseline,3,low_volatility,36
680.4597496204468,540.7323943661974,0.7289693289612238,1.6885053819622093,naive_baseline,3,high_volatility,213
501.8337712392914,379.5473721702991,0.7716198358098749,1.1410105547053149,linear_regression,3,low_volatility,36
710.2183465779846,556.3265444437009,0.7047449515469397,1.737114666278145,linear_regression,3,high_volatility,213
521.2950555053087,377.77613718033786,0.7535630506803497,1.1490085156940517,random_forest,3,low_volatility,36
835.2368737961444,640.2643881751046,0.5916497021631762,2.0145288174576645,random_forest,3,high_volatility,213
467.508664032371,344.53274956597306,0.8017934783054086,1.0333257219667735,lstm,3,low_volatility,36
863.7314911165241,658.4288989637307,0.5932119873131549,2.0792809453280072,lstm,3,high_volatility,193
812.1144481594791,641.4740625000001,0.1658003866161477,1.9576371727110242,naive_baseline,7,low_volatility,32
1000.0135391590369,792.7664516129032,0.45898710129864284,2.476509898902654,naive_baseline,7,high_volatility,217
807.1031167560749,602.3112904919271,0.17606384771302364,1.8451586013355,linear_regression,7,low_volatility,32
1070.2637415179684,846.3923323289243,0.3803057236513726,2.633555888087849,linear_regression,7,high_volatility,217
912.9438673654957,701.2528609027642,-0.054201576832860754,2.133587729571523,random_forest,7,low_volatility,32
1367.4209976681655,1078.6488165463456,-0.011580266443802945,3.409706666350898,random_forest,7,high_volatility,217
748.2819329779053,583.5005126953131,0.2917835188890314,1.771381675818315,lstm,7,low_volatility,32
1163.12914759127,892.4694590736042,0.3187268132293405,2.8161812531655794,lstm,7,high_volatility,197
